,level,annotation,index
167,ec3,EC:6.1.5,167
168,ec3,EC:6.2.1,168
169,ec3,EC:6.2.2,169
170,ec3,EC:6.2.3,170
171,ec3,EC:6.3.1,171
172,ec3,EC:6.3.2,172
173,ec3,EC:6.3.3,173
174,ec3,EC:6.3.4,174
175,ec3,EC:6.3.5,175
176,ec3,EC:6.3.7,176
177,ec3,EC:6.4.1,177
178,ec3,EC:6.5.1,178
179,ec3,EC:7.1.1,179
180,ec3,EC:7.2.1,180
181,ec3,EC:7.2.2,181
182,ec3,EC:7.3.1,182
183,ec3,EC:7.4.2,183
184,ec3,EC:7.5.2,184
185,ec3,EC:7.6.2,185
186,ec3,EC:7.9.2,186
187,ec3,EC:8.1.4,187
188,ec3,EC:8.1.5,188
189,ec3,EC:8.2.1,189
190,ec3,EC:9.1.6,190
191,ec3,EC:9.3.1,191
